,Actual Close,Short-Term Forecasted Close,Improved Long-Term Forecasted Close
2024-09-16,71.03307342529297,70.3980951489181,70.46304013805916
2024-09-17,70.73751831054688,71.04011530117386,70.47040384383816
2024-09-18,70.6882553100586,70.77524959937531,70.47526329295485
2024-09-19,69.57498168945312,70.66696484808993,70.39315927403746
2024-09-20,70.57988739013672,69.6013116914002,70.3805734342047
2024-09-23,70.6685562133789,70.62999351539084,70.41754573597888
2024-09-24,70.27446746826172,70.67306740953263,70.3720986467964
2024-09-25,70.39269256591797,70.3114682788626,70.48048908912669
2024-09-26,70.34342956542969,70.36222933542349,70.48656511757149
2024-09-27,70.72766876220703,70.37791330428139,70.49023143250362
2024-09-30,70.79662322998047,70.77810446735629,70.40700530096164
2024-10-01,70.64884185791016,70.79778209615938,70.39339415154845
2024-10-02,69.9592056274414,70.68652311235205,70.42942545969288
2024-10-03,69.47645568847656,69.92858489859418,70.38309358844585
2024-10-04,69.13162994384766,69.51382114118879,70.49068742397758
2024-10-07,67.98880004882812,69.1822342372562,70.49601084760488
2024-10-08,68.15628814697266,67.98875270960968,70.49897981506386
2024-10-09,68.54051208496094,68.18795314903684,70.41509784580181
2024-10-10,68.22525024414062,68.50615475986392,70.40088743684649
2024-10-11,68.54051208496094,68.25949078388345,70.4363687653336
2024-10-14,69.29911041259766,68.58132474816094,70.38951976823014
2024-10-15,69.29911041259766,69.3004173161315,70.49664801343243
2024-10-16,69.52571105957031,69.33366852626723,70.50153156443301
2024-10-17,68.86563110351562,69.4890538138399,70.50409295535566
2024-10-18,69.39763641357422,68.90215831152514,70.41982767063521
2024-10-21,68.42228698730469,69.44427718005461,70.40526701429542
2024-10-22,68.42228698730469,68.42359534240883,70.44042689786102
2024-10-23,67.00360107421875,68.45840082817405,70.39327565779615
2024-10-24,66.30410766601562,66.96187627728054,70.50013178084825
2024-10-25,65.92972564697266,66.34461938191428,70.50475824084539
2024-10-28,65.68342590332031,65.96812175930296,70.5070814167614
2024-10-29,64.58984375,65.68472861115454,70.42259209683198
2024-10-30,64.94451904296875,64.61423118463858,70.40782673247887
2024-10-31,64.34355163574219,64.89746996503278,70.44279874211821
2024-11-01,64.0479965209961,64.38074421013526,70.39547085103781
2024-11-04,64.1465072631836,64.08410466088534,70.50216792769238
2024-11-05,64.40267181396484,64.13902858921075,70.50664412650016
2024-11-06,62.75737762451172,64.42969821690409,70.50882807362268
2024-11-07,62.71796798706055,62.70591175127752,70.42420781252262
2024-11-08,62.97412109375,62.752529905421625,70.40932280310557
2024-11-11,62.42240905761719,63.01073410301243,70.44418500664815
2024-11-12,62.26477813720703,62.41705865372074,70.3967538688911
2024-11-13,62.06773376464844,62.278529249674676,70.50335798818608
2024-11-14,61.624393463134766,62.016379323573844,70.50774636429792
2024-11-15,60.82638168334961,61.660696015109124,70.50984893679504
2024-11-18,60.94460678100586,60.858355691938335,70.42515214491105
2024-11-19,61.66379928588867,60.93803206273949,70.41019720691084
2024-11-20,62.057884216308594,61.67589461657849,70.44499523242122
2024-11-21,62.816490173339844,62.003435829715976,70.39750375039611
2024-11-22,62.97412109375,62.84627419848979,70.50405353918856
2024-11-25,63.427310943603516,63.00678948973195,70.508390585839
2024-11-26,63.59480285644531,63.42640143250144,70.51044559755867
2024-11-27,63.4765739440918,63.609893975518375,70.42570407596241
2024-11-28,63.6105842590332,63.42845239145496,70.41070826701794
2024-11-29,63.18373489379883,63.641364347062336,70.44546878259091
2024-12-02,63.0546875,63.21964911732381,70.39794203133673
2024-12-03,61.75428009033203,63.05509550390501,70.50446006574721
2024-12-04,62.45907974243164,61.76832544047034,70.50876711202494
2024-12-05,62.071937561035156,62.41238912435494,70.51079432604308
2024-12-06,62.141422271728516,62.09920196345708,70.42602666140921
2024-12-09,62.449153900146484,62.176071420958635,70.41100696474945
2024-12-10,62.18113327026367,62.43955533916162,70.44574555700447
2024-12-11,63.37234115600586,62.200495174561134,70.39819819205229
2024-12-12,62.657615661621094,63.323025378668916,70.50469766707664
2024-12-13,62.09178924560547,62.68519656265024,70.50898717912865
2024-12-16,62.93556594848633,62.12851918602987,70.51099814630952
2024-12-17,62.389591217041016,62.9239949302414,70.42621520193477
